연도,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과
2015/10, - ,2225,2583,2574
2015/11, - ,2225,2583,2574
2015/12, - ,2260,2583,2574
2016/1, - ,2260,2583,2574
2016/2,-,2260,2583,2574
2016/3,-,2314,-,-
2016/4,2853,2752,2725,2602
2016/5,2853,2712,2708,2605
2016/6,2853,2730,3107,2605
2016/7,2853,2730,3107,2605
2016/8,2853,2768,3107,2605
2016/9,4091,2994,3157,3082
2016/10,4091,2994,3157,3082
2016/11,4091,3024,3157,3082
2016/12,4091,3048,3157,3082
2017/1,4091,3036,3157,3082
2017/2,4038,3042,3157,3082
2017/3,4038,3038,3157,3082
2017/4,4630,3196,3271,3830
2017/5,4630,3301,4158,4800
2017/6,4630,3249,4809,4800
